html_url,name,url,login,created_at,stars,f0_
https://github.com/astaxie/beego/issues/3484,astaxie/beego,https://api.github.com/repos/astaxie/beego,userQue,2019-01-11 02:32:57 UTC,11748,2
https://github.com/ampproject/amphtml/issues/20271,ampproject/amphtml,https://api.github.com/repos/ampproject/amphtml,andrewwatterson,2019-01-11 17:00:29 UTC,11671,1
https://github.com/ampproject/amphtml/issues/20291,ampproject/amphtml,https://api.github.com/repos/ampproject/amphtml,choumx,2019-01-11 23:34:18 UTC,11671,1
https://github.com/ampproject/amphtml/issues/20275,ampproject/amphtml,https://api.github.com/repos/ampproject/amphtml,gmajoulet,2019-01-11 17:47:22 UTC,11671,1
https://github.com/ampproject/amphtml/issues/20286,ampproject/amphtml,https://api.github.com/repos/ampproject/amphtml,torch2424,2019-01-11 21:54:35 UTC,11671,1
https://github.com/ampproject/amphtml/issues/20280,ampproject/amphtml,https://api.github.com/repos/ampproject/amphtml,calebcordry,2019-01-11 20:08:27 UTC,11671,1
https://github.com/ampproject/amphtml/issues/20279,ampproject/amphtml,https://api.github.com/repos/ampproject/amphtml,helin24,2019-01-11 20:00:29 UTC,11671,1
https://github.com/ampproject/amphtml/issues/20267,ampproject/amphtml,https://api.github.com/repos/ampproject/amphtml,dryleaf,2019-01-11 00:55:12 UTC,11671,1
https://github.com/ampproject/amphtml/issues/20269,ampproject/amphtml,https://api.github.com/repos/ampproject/amphtml,santoshkjena,2019-01-11 13:18:50 UTC,11671,1
https://github.com/ampproject/amphtml/issues/20272,ampproject/amphtml,https://api.github.com/repos/ampproject/amphtml,andrewwatterson,2019-01-11 17:04:15 UTC,11671,1
https://github.com/Homebrew/brew/issues/5524,Homebrew/brew,https://api.github.com/repos/Homebrew/brew,BanzaiMan,2019-01-11 21:36:49 UTC,11663,1
https://github.com/Homebrew/brew/issues/5522,Homebrew/brew,https://api.github.com/repos/Homebrew/brew,yurikoles,2019-01-11 16:15:28 UTC,11663,1
https://github.com/reduxjs/react-redux/issues/1161,reduxjs/react-redux,https://api.github.com/repos/reduxjs/react-redux,markerikson,2019-01-11 22:42:29 UTC,11661,4
https://github.com/SortableJS/Sortable/issues/1422,SortableJS/Sortable,https://api.github.com/repos/SortableJS/Sortable,bildsoe,2019-01-11 08:11:04 UTC,11626,1
https://github.com/Tencent/tinker/issues/1013,Tencent/tinker,https://api.github.com/repos/Tencent/tinker,Shyky,2019-01-11 02:19:30 UTC,11547,1
https://github.com/cmderdev/cmder/issues/2007,cmderdev/cmder,https://api.github.com/repos/cmderdev/cmder,cdiac,2019-01-11 10:20:13 UTC,11451,2
https://github.com/home-assistant/home-assistant/issues/19983,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,billchurch,2019-01-11 19:38:26 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19963,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,MarkAdamson,2019-01-11 09:11:01 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19978,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,RealDeemer,2019-01-11 16:23:40 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19981,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,hudecitydave,2019-01-11 17:45:16 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19982,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,GaryOkie,2019-01-11 18:43:07 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19953,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,llluis,2019-01-11 03:53:02 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19967,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,bogdanalexe90,2019-01-11 10:17:27 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19996,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,thomasdelaet,2019-01-11 22:41:56 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19969,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,jabesq,2019-01-11 12:23:03 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19976,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,WedHumpDay,2019-01-11 15:21:32 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19993,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,Redferne,2019-01-11 21:41:30 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19998,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,tjorim,2019-01-11 23:45:43 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19995,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,Redferne,2019-01-11 21:56:27 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19974,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,move[bot],2019-01-11 13:58:13 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19968,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,omriasta,2019-01-11 11:10:33 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19951,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,auMattde,2019-01-11 01:00:31 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19984,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,andrei-radulescu,2019-01-11 19:57:09 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19990,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,pc-coholic,2019-01-11 21:10:30 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19975,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,efficiosoft,2019-01-11 14:20:57 UTC,11301,2
https://github.com/home-assistant/home-assistant/issues/19966,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,austwhite,2019-01-11 09:45:09 UTC,11301,2
